# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = GaussMarkovCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.7600,0.644818,0.000231845,0.0319215,0.036316,-0.0387271,-0.000645337,1.65264,0.000110914,0.0137848,-0.0597774,-0.0807297,0.000759094,0.0014498,-0.0014498,0.067109,-0.067109,1525,-0.00154028,0.00154028,0.0236753,-0.0236753,1524.68
0.7800,0.678515,0.000201775,0.0334804,0.0350501,-0.0403316,-0.000690985,1.68663,4.34731e-05,0.0126605,-0.0633834,-0.0802539,0.000633593,0.00227839,-0.00227839,0.0746036,-0.0746036,1525,-0.00094226,0.00094226,0.0323621,-0.0323621,1524.75
0.8000,0.712875,0.000169708,0.0350981,0.033733,-0.0419222,-0.000736564,1.71985,-1.12719e-05,0.0115555,-0.0659472,-0.0795577,0.000511136,0.00309453,-0.00309453,0.081525,-0.081525,1525,-0.00029813,0.00029813,0.0408104,-0.0408104,1524.8
0.8200,0.747882,0.000135789,0.036776,0.0323848,-0.0434944,-0.000781763,1.75231,-5.34342e-05,0.0104762,-0.0675045,-0.0786442,0.000394698,0.00388344,-0.00388344,0.0878272,-0.0878272,1525,0.000380402,-0.000380402,0.0489533,-0.0489533,1524.84
0.8400,0.78352,0.000100158,0.0385156,0.0310247,-0.045044,-0.000826262,1.78401,-8.33892e-05,0.00942506,-0.0681038,-0.0775106,0.000287029,0.00463139,-0.00463139,0.0934701,-0.0934701,1525,0.00108101,-0.00108101,0.0567281,-0.0567281,1524.87
0.8600,0.819771,6.29613e-05,0.0403176,0.0296705,-0.0465658,-0.000869712,1.8148,-0.000101797,0.00839557,-0.0678051,-0.0761211,0.00019101,0.00532397,-0.00532397,0.0983899,-0.0983899,1525,0.00179109,-0.00179109,0.0640765,-0.0640765,1524.9
0.8800,0.85662,2.43302e-05,0.0421828,0.0283389,-0.0480554,-0.000911788,1.8448,-0.000109582,0.00740295,-0.0666768,-0.0745073,0.000108916,0.00594972,-0.00594972,0.102552,-0.102552,1525,0.00249766,-0.00249766,0.0709392,-0.0709392,1524.92
0.9000,0.894051,-1.56112e-05,0.044112,0.027045,-0.0495082,-0.000952162,1.87402,-0.000107859,0.0064512,-0.0647961,-0.072671,4.27628e-05,0.00649842,-0.00649842,0.105917,-0.105917,1525,0.00318807,-0.00318807,0.0772617,-0.0772617,1524.93
0.9200,0.932049,-5.67475e-05,0.0461057,0.0258019,-0.0509202,-0.000990525,1.90249,-9.78865e-05,0.00554581,-0.0622455,-0.0706246,-5.99987e-06,0.0069626,-0.0069626,0.108462,-0.108462,1525,0.00385014,-0.00385014,0.0829927,-0.0829927,1524.95
0.9400,0.970601,-9.89742e-05,0.0481644,0.0246215,-0.0522879,-0.00102661,1.93032,-8.09239e-05,0.00469465,-0.0591117,-0.0684093,-3.70788e-05,0.00734041,-0.00734041,0.110213,-0.110213,1525,0.00447263,-0.00447263,0.0880865,-0.0880865,1524.96
0.9600,1.00969,-0.000142194,0.0502882,0.0235136,-0.0536076,-0.00106015,1.95743,-5.85153e-05,0.00389614,-0.0554851,-0.0660086,-4.93595e-05,0.00762603,-0.00762603,0.111127,-0.111127,1525,0.00504619,-0.00504619,0.0925118,-0.0925118,1524.97
0.9800,1.04931,-0.000186318,0.0524772,0.0224861,-0.0548765,-0.0010909,1.9839,-3.20331e-05,0.00315508,-0.0514554,-0.0634611,-4.3458e-05,0.00782205,-0.00782205,0.111241,-0.111241,1525,0.00556216,-0.00556216,0.0962348,-0.0962348,1524.97
1.0000,1.08944,-0.000231269,0.0547311,0.0215454,-0.0560912,-0.00111864,2.00965,-3.09882e-06,0.00247044,-0.0471133,-0.0607516,-1.88992e-05,0.00792579,-0.00792579,0.110514,-0.110514,1525,0.00601414,-0.00601414,0.0992361,-0.0992361,1524.98
1.0200,1.13007,-0.000276975,0.0570494,0.0206959,-0.0572492,-0.00114317,2.03473,2.68958e-05,0.00184481,-0.0425457,-0.0579108,2.31552e-05,0.00794249,-0.00794249,0.108981,-0.108981,1525,0.00639647,-0.00639647,0.101492,-0.101492,1524.98
1.0400,1.17118,-0.000323372,0.0594314,0.0199403,-0.0583485,-0.00116434,2.05921,5.66839e-05,0.00127959,-0.0378364,-0.0549787,8.0805e-05,0.00788103,-0.00788103,0.106705,-0.106705,1525,0.00670567,-0.00670567,0.10299,-0.10299,1524.99
