# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = PowerLawProfile
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.9800,0.93573,-0.000173652,0.0195708,0.0233116,-0.0449693,-0.000972288,1.88292,-0.000770584,-0.0132112,-0.0529361,-0.0463058,0.000116855,0.00685716,-0.00685716,0.0910791,-0.0910791,1525,0.00522755,-0.00522755,0.104498,-0.104498,1524.97
1.0000,0.973888,-0.000219088,0.0210214,0.0223442,-0.0458458,-0.000989556,1.90924,-0.000726949,-0.0132987,-0.0484066,-0.0438303,0.000159209,0.00685811,-0.00685811,0.0856591,-0.0856591,1525,0.00555347,-0.00555347,0.101814,-0.101814,1524.98
1.0200,1.01256,-0.000265072,0.0225279,0.0214719,-0.0466726,-0.00100373,1.93486,-0.000684411,-0.0133505,-0.0436468,-0.0413458,0.000215882,0.00678745,-0.00678745,0.0798227,-0.0798227,1525,0.0058144,-0.0058144,0.0985831,-0.0985831,1524.98
1.0400,1.05172,-0.000311524,0.0240893,0.0206976,-0.04745,-0.00101473,1.9598,-0.000644192,-0.0133687,-0.0387444,-0.038874,0.000285424,0.006652,-0.006652,0.0736243,-0.0736243,1525,0.00600901,-0.00600901,0.094831,-0.094831,1524.99
1.0600,1.09137,-0.000358374,0.0257044,0.0200223,-0.0481787,-0.0010225,1.98407,-0.000607388,-0.0133559,-0.0337823,-0.0364363,0.000366156,0.00645971,-0.00645971,0.0671222,-0.0671222,1525,0.00613761,-0.00613761,0.0905897,-0.0905897,1524.99
1.0800,1.13149,-0.000405562,0.0273721,0.0194457,-0.0488598,-0.00102701,2.0077,-0.000574961,-0.0133151,-0.0288384,-0.0340536,0.000456246,0.00621934,-0.00621934,0.0603779,-0.0603779,1525,0.00620203,-0.00620203,0.0858962,-0.0858962,1524.99
1.1000,1.17207,-0.000453037,0.0290909,0.0189661,-0.0494949,-0.00102829,2.03069,-0.000547731,-0.0132497,-0.0239843,-0.031746,0.000553765,0.00594014,-0.00594014,0.0534552,-0.0534552,1525,0.00620549,-0.00620549,0.0807925,-0.0807925,1524.99
1.1200,1.21309,-0.000500754,0.0308592,0.0185803,-0.0500857,-0.00102635,2.05307,-0.000526372,-0.0131635,-0.0192846,-0.0295326,0.000656758,0.00563155,-0.00563155,0.0464194,-0.0464194,1525,0.00615242,-0.00615242,0.075325,-0.075325,1524.99
1.1400,1.25455,-0.000548678,0.0326757,0.0182841,-0.0506345,-0.00102128,2.07483,-0.000511418,-0.0130603,-0.0147969,-0.0274313,0.000763301,0.0053029,-0.0053029,0.0393362,-0.0393362,1525,0.00604825,-0.00604825,0.0695439,-0.0695439,1525
1.1600,1.29643,-0.000596779,0.0345388,0.0180723,-0.0511439,-0.00101315,2.09601,-0.000503261,-0.0129443,-0.0105709,-0.0254584,0.000871556,0.00496316,-0.00496316,0.0322707,-0.0322707,1525,0.00589918,-0.00589918,0.0635024,-0.0635024,1525
