# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.7600,0.547291,7.79068e-05,0.00675419,0.037357,-0.0294097,0.00218865,1.51143,-0.00502469,-0.00888189,-0.0612012,-0.0550024,0.0153652,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872483,-0.0872483,0.0872483,-0.0872483,1524.68
0.7800,0.578167,4.23455e-05,0.00747324,0.0360578,-0.030494,0.00247704,1.54419,-0.00550662,-0.00926005,-0.0645333,-0.0536362,0.0164277,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087252,-0.087252,0.087252,-0.087252,1524.75
0.8000,0.60968,7.26854e-06,0.00823795,0.0347132,-0.0315485,0.00278992,1.57605,-0.00600714,-0.00961158,-0.0667527,-0.0521296,0.0175273,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872549,-0.0872549,0.0872549,-0.0872549,1524.8
0.8200,0.641811,-2.66716e-05,0.0090488,0.0333446,-0.0325707,0.0031281,1.60703,-0.00652784,-0.00993323,-0.0678979,-0.050489,0.0186641,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872572,-0.0872572,0.0872572,-0.0872572,1524.84
0.8400,0.674544,-5.87971e-05,0.00990613,0.0319723,-0.0335577,0.00349233,1.63713,-0.00707047,-0.0102218,-0.0680217,-0.0487206,0.0198375,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087259,-0.087259,0.087259,-0.087259,1524.87
0.8600,0.70786,-8.84084e-05,0.0108102,0.0306154,-0.0345073,0.00388334,1.66638,-0.00763689,-0.0104744,-0.0671891,-0.0468306,0.0210472,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872605,-0.0872605,0.0872605,-0.0872605,1524.9
0.8800,0.741744,-0.000114787,0.011761,0.0292915,-0.0354171,0.00430178,1.6948,-0.00822905,-0.010688,-0.0654753,-0.0448252,0.022292,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872617,-0.0872617,0.0872617,-0.0872617,1524.92
0.9000,0.776178,-0.0001372,0.0127587,0.0280164,-0.0362847,0.00474826,1.7224,-0.00884897,-0.01086,-0.0629636,-0.0427105,0.023571,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872627,-0.0872627,0.0872627,-0.0872627,1524.93
0.9200,0.811148,-0.0001549,0.0138029,0.0268043,-0.0371082,0.00522335,1.74919,-0.00949867,-0.0109876,-0.0597441,-0.0404923,0.0248828,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872634,-0.0872634,0.0872634,-0.0872634,1524.95
0.9400,0.846636,-0.000167129,0.0148935,0.0256674,-0.0378855,0.00572755,1.7752,-0.0101802,-0.0110686,-0.0559109,-0.0381766,0.0262256,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087264,-0.087264,0.087264,-0.087264,1524.96
0.9600,0.882629,-0.000173122,0.0160301,0.0246159,-0.0386148,0.00626135,1.80044,-0.0108954,-0.0111007,-0.051561,-0.0357692,0.0275975,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872645,-0.0872645,0.0872645,-0.0872645,1524.97
0.9800,0.91911,-0.000172104,0.017212,0.0236583,-0.0392944,0.00682514,1.82494,-0.0116464,-0.0110817,-0.0467921,-0.0332758,0.0289966,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872649,-0.0872649,0.0872649,-0.0872649,1524.97
1.0000,0.956065,-0.000163298,0.0184386,0.0228009,-0.0399227,0.00741931,1.8487,-0.0124348,-0.0110099,-0.0417014,-0.0307019,0.0304203,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872652,-0.0872652,0.0872652,-0.0872652,1524.98
1.0200,0.99348,-0.00014592,0.0197093,0.0220483,-0.0404981,0.00804417,1.87175,-0.0132623,-0.0108834,-0.0363839,-0.0280531,0.0318662,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872655,-0.0872655,0.0872655,-0.0872655,1524.98
1.0400,1.03134,-0.000119184,0.021023,0.0214032,-0.0410194,0.00870001,1.89411,-0.0141304,-0.0107008,-0.0309309,-0.0253349,0.0333317,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872657,-0.0872657,0.0872657,-0.0872657,1524.99
1.0600,1.06963,-8.22983e-05,0.0223788,0.0208664,-0.0414852,0.00938706,1.91578,-0.0150405,-0.0104608,-0.0254293,-0.0225525,0.0348139,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872658,-0.0872658,0.0872658,-0.0872658,1524.99
