# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.25
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.9600,0.899523,-0.000163424,0.0166361,0.024224,-0.0394112,0.00645378,1.86651,-0.0114177,-0.0117783,-0.0527832,-0.0379457,0.0288384,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872645,-0.0872645,0.0872645,-0.0872645,1524.97
0.9800,0.937392,-0.000157887,0.0178875,0.0232405,-0.0401346,0.00704402,1.89443,-0.0122323,-0.0117867,-0.0480126,-0.0354467,0.0303564,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872649,-0.0872649,0.0872649,-0.0872649,1524.97
1.0000,0.975805,-0.000143585,0.019189,0.0223573,-0.0408064,0.0076672,1.92167,-0.0130902,-0.0117391,-0.0429118,-0.0328562,0.031906,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872652,-0.0872652,0.0872652,-0.0872652,1524.98
1.0200,1.01475,-0.000119601,0.0205399,0.021579,-0.0414248,0.00832378,1.94823,-0.0139934,-0.0116331,-0.0375755,-0.0301791,0.0334848,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872655,-0.0872655,0.0872655,-0.0872655,1524.98
1.0400,1.05421,-8.50099e-05,0.0219395,0.0209085,-0.0419882,0.00901417,1.97414,-0.0149439,-0.0114667,-0.032095,-0.0274206,0.03509,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872657,-0.0872657,0.0872657,-0.0872657,1524.99
1.0600,1.09417,-3.88691e-05,0.0233868,0.0203469,-0.0424952,0.00973874,1.99939,-0.0159432,-0.0112381,-0.0265569,-0.0245857,0.0367187,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872658,-0.0872658,0.0872658,-0.0872658,1524.99
1.0800,1.13463,1.97744e-05,0.024881,0.0198938,-0.0429443,0.0104978,2.02402,-0.0169928,-0.0109456,-0.0210423,-0.0216792,0.0383679,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087266,-0.087266,0.087266,-0.087266,1524.99
1.1000,1.17556,9.18871e-05,0.0264207,0.0195472,-0.0433343,0.0112916,2.04802,-0.018094,-0.0105878,-0.0156258,-0.0187062,0.0400345,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872661,-0.0872661,0.0872661,-0.0872661,1524.99
1.1200,1.21696,0.000178448,0.0280049,0.0193038,-0.0436639,0.0121204,2.07142,-0.0192479,-0.0101633,-0.0103751,-0.0156715,0.0417154,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872661,-0.0872661,0.0872661,-0.0872661,1524.99
1.1400,1.25882,0.000280449,0.029632,0.0191591,-0.0439323,0.0129844,2.09423,-0.0204554,-0.00967115,-0.0053499,-0.0125799,0.0434073,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872662,-0.0872662,0.0872662,-0.0872662,1525
